,fir_id,name,boundary
35,0,DAVENTRY CTA 1,+532614.00-0015024.00/+531952.00-0014757.00/+530412.00-0015647.00/+530732.00-0020056.00/+532614.00-0015024.00
36,0,DAVENTRY CTA 2,+531952.00-0014757.00/+530952.00-0014407.00/+530108.00-0015300.00/+530412.00-0015647.00/+531952.00-0014757.00
37,0,DAVENTRY CTA 3,+531145.00-0013558.00/+521403.00-0010009.00/+521355.00-0010026.00/+524702.00-0013541.00/+530108.00-0015300.00/+530952.00-0014407.00/+531145.00-0013558.00
38,0,DAVENTRY CTA 4,+521403.00-0010009.00/+521049.00-0010650.00/+520633.00-0012617.00/+520428.00-0012245.00/+520843.00-0010339.00/+521222.00-0005608.00/+521403.00-0010009.00
39,0,DAVENTRY CTA 5,+521222.00-0005608.00/+520843.00-0010339.00/+520428.00-0012245.00/+515745.00-0011126.00/+520421.00-0003712.00/+521222.00-0005608.00
40,0,DAVENTRY CTA 6,+515626.00-0011022.00/+514420.00-0010041.00/+514019.00-0010507.00/+515626.00-0011022.00
41,0,DAVENTRY CTA 7,+530732.00-0020056.00/+530412.00-0015647.00/+530115.00-0015826.00/+525828.00-0020854.00/+525858.00-0023314.00/+530443.00-0024001.00/+530626.00-0024349.00/+530602.00-0022246.00/+530732.00-0020056.00
42,0,DAVENTRY CTA 8,+530412.00-0015647.00/+525833.00-0014948.00/+524800.00-0015216.00/+524216.00-0021343.00/+525858.00-0023314.00/+525828.00-0020854.00/+530115.00-0015826.00/+530412.00-0015647.00
43,0,DONCASTER SHEFFIELD CTA 4,+534139.00-0010352.00/+534149.00-0010209.00/+533109.00-0010751.00/+533059.00-0010932.00/+534139.00-0010352.00
44,0,DONCASTER SHEFFIELD CTA 7,+533059.00-0010932.00/+533109.00-0010751.00/+532535.00-0011047.00/+532527.00-0011228.00/+533059.00-0010932.00
45,0,DONCASTER SHEFFIELD CTA 8,+534030.00-0011550.00/+534139.00-0010352.00/+533059.00-0010932.00/+533038.00-0011307.00/+534030.00-0011550.00
46,0,DONCASTER SHEFFIELD CTA 9,+532950.00-0012120.00/+533059.00-0010932.00/+532527.00-0011228.00/+532449.00-0011957.00/+532950.00-0012120.00
47,0,EAST MIDLANDS CTA 1,+525911.00-0012801.00/+525901.00-0010918.00/+525421.00-0010006.00/+525121.00-0005725.00/+525057.00-0005724.00/+525456.00-0011804.00/+525510.00-0012530.00/+525911.00-0012801.00
48,0,EAST MIDLANDS CTA 2,+525255.00-0010733.00/+525057.00-0005724.00/+525014.00-0005722.00/+524619.00-0005748.00/+524558.00-0010733.00/+525255.00-0010733.00
49,0,EAST MIDLANDS CTA 3,+524619.00-0005748.00/+524315.00-0005749.00/+524122.00-0011653.00/+524536.00-0011932.00/+524537.00-0011628.00/+524619.00-0005748.00
50,0,EAST MIDLANDS CTA 4,+524536.00-0011932.00/+524122.00-0011653.00/+524013.00-0012820.00/+524533.00-0013405.00/+524536.00-0011932.00
51,0,EAST MIDLANDS CTA 5,+525142.00-0013706.00/+525233.00-0013241.00/+524535.00-0012816.00/+524533.00-0013405.00/+524702.00-0013541.00/+524942.00-0013857.00/+525142.00-0013706.00
52,0,EAST MIDLANDS CTA 6,+525629.00-0013938.00/+525911.00-0012801.00/+525510.00-0012530.00/+525233.00-0013241.00/+525142.00-0013706.00/+524942.00-0013857.00/+525059.00-0014031.00/+525629.00-0013938.00
53,0,EAST MIDLANDS CTA 7,+530410.00-0013110.00/+530402.00-0011422.00/+525901.00-0010918.00/+525911.00-0012801.00/+530410.00-0013110.00
54,0,EAST MIDLANDS CTA 8,+525833.00-0014948.00/+530123.00-0014310.00/+530410.00-0013110.00/+525911.00-0012801.00/+525506.00-0014533.00/+525833.00-0014948.00
55,0,EAST MIDLANDS CTA 9,+524122.00-0011653.00/+523610.00-0011340.00/+523447.00-0012231.00/+524013.00-0012820.00/+524122.00-0011653.00
56,0,FARNBOROUGH CTA 1,+512014.00-0003104.00/+511741.00-0002927.00/+511520.00-0003639.00/+512013.00-0003800.00/+512014.00-0003104.00
57,0,FARNBOROUGH CTA 4,+511520.00-0003639.00/+511014.00-0003325.00/+510832.00-0004055.00/+510632.00-0003937.00/+510449.00-0004709.00/+510652.00-0004829.00/+511035.00-0005054.00/+511520.00-0003639.00
