,sectorline,coords
343,Mon_DCS-N Area E2b Inner,+552109.000-0022141.400/+551113.000-0021301.000/+550000.000-0020729.000
344,Mon_DCS-S Area E2 Inner,+550000.000-0020729.000/+545749.163-0020621.435
345,Mon_S29,+541152.802-0014543.000/+540147.000-0013515.000
346,Mon_S29 Del,+541500.000-0014856.000/+541152.802-0014543.000
347,Mon_Tay B-C,+543322.908-0015630.643/+543132.265-0013923.237
348,Mon Area A Inner,+540145.500-0001712.100/+542559.482-0004455.445/+541557.219-0011659.938/+543132.265-0013923.237
349,Mon Area B Inner,+541152.802-0014543.000/+543132.265-0013923.237
350,Mon Area C Inner,+543132.265-0013923.237/+544711.211-0013420.918
351,Mon Area D Inner,+550000.000-0015458.173/+550000.000-0013013.385/+544711.211-0013420.918
352,Mon EDC,+550000.000-0020729.000/+545749.163-0020621.435/+544248.193-0020023.665/+545638.296-0015601.963/+550000.000-0015458.173
353,Mon_Tay C-D,+545638.296-0015601.963/+544711.211-0013420.918
354,Mon Area D Outer,+550000.000-0015458.173/+545638.296-0015601.963
355,Mon Area C Outer,+544248.193-0020023.665/+545638.296-0015601.963
356,Gal_Tal,+555335.022-0024931.040/+554859.000-0040117.000/+554240.000-0040911.000/+545116.000-0031959.000/+541500.000-0023329.400
357,Tal_Nor,+541500.000-0021000.000/+541500.000-0023329.400
358,Gal_Ant,+551214.000-0050234.000/+550959.022-0044500.736/+550603.000-0041419.000/+543241.000-0033000.000/+543010.000-0033535.000
359,Gal_Nor,+541500.000-0030459.023/+541500.000-0023329.400
360,Gal_IoM1,+543010.000-0033535.000/+541500.000-0033305.000
361,Gal_IoM2,+541500.000-0033305.000/+541500.000-0030459.023
362,TalSouth,+545424.000-0022410.000/+541500.000-0021000.000
363,Tal_TayE2b,+552109.000-0022141.400/+551229.160-0023018.000
364,Tal_TayE2c,+551229.160-0023018.000/+545424.000-0022410.000
365,Tal_TayDelegated,+552109.000-0022141.400/+551138.263-0015234.681/+550259.577-0020118.376/+551229.160-0023018.000
366,TayE2b,+545424.000-0022410.000/+545749.163-0020621.435
367,Tal_TayE2a,+552109.000-0022141.400/+552606.820-0023655.790/+553805.000-0025111.000/+555335.022-0024931.040
368,Gal_TayE1,+561400.000-0040926.000/+560700.000-0040910.000/+560222.000-0040518.000/+560659.000-0032938.000/+560701.203-0031326.815
369,Gal_Tay,+560701.203-0031326.815/+560700.000-0025608.000/+560008.000-0024849.000/+555335.022-0024931.040
370,WCoast-Mon_Gal,+561400.000-0040926.000/+561234.976-0041255.926/+560122.000-0044033.000
371,WCoast-Cen_Gal,+560122.000-0044033.000/+555959.000-0044400.000/+555000.000-0050000.000
372,WCoast-RatW_Gal,+555000.000-0050000.000/+551511.000-0050000.000/+551214.000-0050234.000
373,WCoast-Mon_WCoast-Cen,+561560.000-0050520.000/+560122.000-0044033.000
374,WCoast-Cen_WCoast-RatW,+555607.000-0052248.000/+555000.000-0050000.000
375,WCoast-RatW_Ant,+551214.000-0050234.000/+550948.000-0050441.000
376,WCoast-Rat_Ant,+550948.000-0050441.000/+550749.000-0050623.000
377,Ant_WCoast-Rat,+550749.000-0050623.000/+545715.000-0051530.000/+545417.000-0052959.000/+545030.000-0062441.000/+544948.686-0062629.498/+544904.685-0062800.221/+544816.895-0062923.982/+544725.664-0063040.141/+544629.597-0063148.122/+544530.913-0063247.412/+544429.465-0063337.567/+544325.724-0063418.215/+544220.178-0063449.572/+544113.327-0063509.870/+544005.681-0063520.511/+543857.757-0063520.911/+543750.718-0063511.829/+543643.138-0063451.113/+543537.465-0063421.170/+543433.551-0063341.491/+543331.879-0063252.390/+543232.915-0063154.251/+543137.106-0063047.521/+543044.870-0062932.715/+542956.603-0062810.404/+542912.667-0062641.215/+542833.393-0062505.824/+542759.768-0062324.951/+542755.000-0062310.000/+540522.360-0062438.680
378,Ant_EIDW,+540522.360-0062438.680/+535500.000-0053000.000/+534847.000-0053000.000
379,North Sea CTA 2 (GODOS),+534148.000+0030000.000/+533411.000+0034222.000/+531029.000+0032158.000/+531441.000+0031102.000/+531608.000+0030000.000/+534148.000+0030000.000
380,North Sea CTA 2 (GODOS),
