,sectorline,coords
60,LWC4b,+515942.000-0015411.000/+515336.000-0014741.000
61,LWC4c,+515336.000-0014741.000/+514751.000-0014136.000
62,LWC4d,+514751.000-0014136.000/+514211.000-0013537.000/+514055.000-0013458.000
63,SB1,+493323.000-0065617.000/+485542.000-0073430.000
64,EIW1,+493459.000-0080000.000/+485000.000-0080000.000
65,BAN1,+512528.000-0071351.000/+514215.000-0064236.000
66,BAN2,+512528.000-0071351.000/+512400.000-0065305.000/+514034.000-0060027.000
67,BAN3,+520049.000-0060720.000/+514034.000-0060027.000
68,BAN4,+514215.000-0064236.000/+520049.000-0060720.000
69,BAN5,+514215.000-0064236.000/+514034.000-0060027.000
70,LN1,+523703.850+0025357.300/+522819.000+0024644.000
71,LN2,+531813.000+0024400.000/+532000.000+0023000.000/+524010.000+0023000.000/+523703.850+0025357.300
72,LN3,+523703.850+0025357.300/+531029.000+0032158.000
73,LN4,+540145.000+0000602.000/+533539.000+0002756.000/+533230.000+0005045.000/+532856.001+0005709.000/+525324.000+0004619.000/+530426.400-0004425.000
74,LN5,+540147.000-0013515.000/+530642.000-0004627.000
75,LN6,+534125.000-0032734.000/+533947.000-0025224.000/+533144.000-0021700.000/+531225.000-0015844.000
76,LN7,+534817.000-0053000.000/+531148.000-0053000.000
77,LNC1,+525046.000-0024529.000/+531029.000-0020557.000
78,LNC2,+531029.000-0020557.000/+531225.000-0015844.000
79,LNC3,+531225.000-0015844.000/+530031.000-0014737.000
80,LNC4a,+530031.000-0014737.000/+531017.000-0012043.000/+530828.000-0010317.000
81,LNC4b,+530828.000-0010317.000/+530642.000-0004627.000
82,LNC5,+530642.000-0004627.000/+530426.400-0004425.000
83,LNC6a,+530426.400-0004425.000/+522626.000-0001012.000
84,LNC6b,+522626.000-0001012.000/+522615.000+0001348.000
85,LNE1,+522615.000+0001348.000/+522530.652+0010440.255
86,LNE2,+522530.652+0010440.255/+522510.000+0012816.000/+523412.000+0015410.000/+522842.000+0023414.000/+522819.000+0024644.000
87,LC1,+531225.000-0015844.000/+530031.000-0014737.000
88,LC2,+530031.000-0014737.000/+520603.000-0005814.000
89,LC3,+520603.000-0005814.000/+520519.000-0005956.000
90,LC4,+520519.000-0005956.000/+521049.000-0010650.000/+521408.000-0011020.000
91,LC5a,+521408.000-0011020.000/+522618.000-0012315.000
92,LC5b,+522618.000-0012315.000/+520946.000-0020500.000
93,LC6,+515942.000-0015411.000/+521408.000-0011020.000
94,LC7a,+520519.000-0005956.000/+520000.000-0011226.000
95,LC7b,+520000.000-0011226.000/+515300.000-0012844.000
96,LC8,+515300.000-0012844.000/+515336.000-0014741.000
97,LC9,+515300.000-0012844.000/+514751.000-0014136.000
98,LC10,+515421.000-0010257.000/+520000.000-0011226.000
99,LC11a,+515619.000-0000748.000/+515433.000-0001425.000
100,LC11b,+521104.000+0000528.000/+520228.000+0001524.000
101,LC11c,+520228.000+0001524.000/+515619.000-0000748.000
102,LC12,+515433.000-0001425.000/+520448.000-0003814.000/+520939.000-0004942.000/+520603.000-0005814.000
103,LC13a,+515433.000-0001425.000/+514802.000-0003828.000/+515859.000-0005202.000
104,LC13b,+515859.000-0005202.000/+520603.000-0005814.000
105,LC14a,+530828.000-0010317.000/+530016.000-0010043.000/+524900.000-0004936.651
