,name,type,coords
135,BINBO,FIX,+532406.00+0032029.00
136,BINTI,FIX,+543345.00-0015945.00
137,BISRU,FIX,+510418.00+0002203.00
138,BLACA,FIX,+545300.00-0050932.00
139,BLIXY,FIX,+513730.00+0015832.00
140,BODSO,FIX,+530308.00+0020541.00
141,BOGMI,FIX,+505953.00-0071217.00
142,BOGNA,FIX,+504207.00-0001506.00
143,BOLBI,FIX,+532800.00-0014845.00
144,BOLRO,FIX,+500000.00-0014129.00
145,BOMBO,FIX,+515944.00-0002347.00
146,BONBY,FIX,+575330.00-0042036.00
147,BOVVA,FIX,+514334.00-0003259.00
148,BOYNE,FIX,+534602.00-0053000.00
149,BRAIN,FIX,+514840.00+0003906.00
150,BRASO,FIX,+514107.00+0004100.00
151,BRIPO,FIX,+504227.00-0024500.00
152,BRUCE,FIX,+561411.00-0055028.00
153,BUDON,FIX,+574207.00-0003343.00
154,BUGUP,FIX,+515237.00-0013700.00
155,BUKUT,FIX,+524530.00+0024802.00
156,BUMUX,FIX,+504816.00-0032058.00
157,BURNI,FIX,+534338.00-0023104.00
158,BUSTA,FIX,+520534.00+0000404.00
159,BUZAD,FIX,+515632.00-0003308.00
160,CALDA,FIX,+534627.00-0023838.00
161,CAMBO,FIX,+491730.00-0055135.00
162,CASEL,FIX,+534952.00-0041057.00
163,CASEY,FIX,+520031.00+0003459.00
164,CHASE,FIX,+523648.00-0015502.00
165,CHINN,FIX,+575751.00-0041117.00
166,CLIPY,FIX,+520003.00-0010509.00
167,CLYDE,FIX,+555748.00-0044732.00
168,COWJO,FIX,+511324.00-0034834.00
169,COWLY,FIX,+513658.00-0010354.00
170,CREWE,FIX,+524907.00-0021827.00
171,CROFT,FIX,+533737.00-0023220.00
172,CUTEL,FIX,+555309.00+0022228.00
173,DAGGA,FIX,+514919.00+0004739.00
174,DAGKO,FIX,+505138.00-0035328.00
175,DALEY,FIX,+534008.00-0022057.00
176,DANDI,FIX,+534104.00-0035658.00
177,DAUNT,FIX,+552508.00-0045247.00
178,DAVOT,FIX,+572042.00-0040529.00
179,DAWLY,FIX,+503427.00-0032750.00
180,DAYNE,FIX,+531419.00-0020145.00
181,DEGOS,FIX,+541121.00-0065423.00
182,DELBO,FIX,+515237.00-0011624.00
183,DENBY,FIX,+533113.00-0015740.00
184,DENOG,FIX,+572553.00-0014516.00
185,DESIG,FIX,+533138.00-0015334.00
186,DESNA,FIX,+503700.00-0004700.00
187,DEVAL,FIX,+505125.00+0012800.00
188,DEVBI,FIX,+604254.00-0084610.00
189,DEVOM,FIX,+504318.00-0034519.00
190,DEXEN,FIX,+531649.00-0053000.00
191,DEZZU,FIX,+513619.00-0020000.00
192,DIBAL,FIX,+524750.00+0023000.00
193,DIDEL,FIX,+505035.00-0035950.00
194,DIGBI,FIX,+551106.00-0010301.00
195,DIGMA,FIX,+533900.00-0033724.00
196,DIGSU,FIX,+520126.00+0003805.00
197,DIGUT,FIX,+513901.00-0011759.00
198,DIKAS,FIX,+514637.00-0031533.00
199,DIKVU,FIX,+511747.00+0001902.00
200,DIMLI,FIX,+545647.00-0063655.00
201,DINIM,FIX,+510000.00-0150000.00
202,DIPSO,FIX,+530313.00-0012039.00
203,DISIT,FIX,+520611.00-0014241.00
204,DISVO,FIX,+503931.00-0010257.00
205,DITOB,FIX,+521701.00+0014927.00
206,DIXIB,FIX,+511412.00-0005054.00
207,DOBEM,FIX,+515211.00-0025545.00
208,DOGAL,FIX,+540000.00-0150000.00
209,DOKEK,FIX,+512518.00-0060329.00
210,DOKEN,FIX,+554055.00+0020656.00
211,DOLAS,FIX,+525843.00+0010003.00
212,DOLOP,FIX,+531251.00-0033751.00
213,DOLUR,FIX,+492904.00-0050326.00
214,DOMUT,FIX,+501543.00-0014009.00
215,DONAX,FIX,+532911.00-0035740.00
216,DONIB,FIX,+554309.00-0074144.00
217,DONNA,FIX,+514200.00-0004437.00
218,DOPEK,FIX,+532304.00-0005532.00
219,DORKI,FIX,+511633.00-0001552.00
220,DOSUN,FIX,+600703.00-0062339.00
221,DRAKE,FIX,+501234.00-0000434.00
222,DUCNO,FIX,+515824.00-0021852.00
223,DUFFY,FIX,+543053.00-0055139.00
224,DUFZO,FIX,+513017.00-0042036.00
225,EBOTO,FIX,+522133.00-0004140.00
226,EDONU,FIX,+561736.00-0033341.00
227,EDUXO,FIX,+532424.00-0011301.00
228,EKLAD,FIX,+531514.00-0024929.00
229,EKNIV,FIX,+512426.00+0003731.00
230,ELBOB,FIX,+544358.00-0074438.00
231,ELDAX,FIX,+502918.00+0003930.00
232,ELDER,FIX,+503948.00-0012014.00
233,ELKOG,FIX,+602648.00-0093000.00
234,ELMUD,FIX,+550656.00-0014024.00
235,ELNAB,FIX,+532211.00+0011251.00
236,ELNOD,FIX,+532826.00-0013524.00
237,ELRAG,FIX,+511028.00-0050621.00
238,ELRIP,FIX,+503745.00-0025924.00
239,ELSAN,FIX,+564219.00+0034358.00
240,ELSOX,FIX,+510000.00-0140000.00
241,ELVOS,FIX,+524201.00-0011825.00
242,EMBOR,FIX,+525748.00-0011745.00
243,EMKAD,FIX,+511450.00+0004234.00
244,EMKUK,FIX,+515837.00-0012115.00
245,EMLON,FIX,+531220.00+0023000.00
246,EMPER,FIX,+490000.00-0090000.00
247,ENCOD,FIX,+531959.00-0002424.00
248,ENIPI,FIX,+550111.00-0031510.00
249,ENITO,FIX,+524805.00+0022803.00
250,ENUKU,FIX,+561400.00-0033819.00
251,EPOXI,FIX,+531959.00-0032718.00
252,EPUNA,FIX,+503000.00-0140000.00
253,ERAKA,FIX,+580000.00-0100000.00
254,ERDOG,FIX,+592003.00-0012504.00
255,ERDUV,FIX,+535235.00-0041008.00
256,ERFAX,FIX,+502630.00-0035903.00
257,ERGAB,FIX,+540922.00-0022312.00
258,ERGUM,FIX,+500725.00-0014450.00
259,ERING,FIX,+513526.00+0013643.00
260,ERKEX,FIX,+505241.00+0011937.00
261,ERKIT,FIX,+540149.00-0004949.00
262,ERLOT,FIX,+551714.00-0003506.00
263,ERNAN,FIX,+541644.00-0072334.00
264,ERNOK,FIX,+514130.00-0025644.00
265,ERSON,FIX,+562748.00-0041824.00
266,ESKDO,FIX,+551756.00-0031215.00
267,ESTRY,FIX,+533952.00-0031542.00
268,ETARI,FIX,+553000.00-0150000.00
269,ETIGA,FIX,+540239.00-0044727.00
270,ETILO,FIX,+573000.00-0100000.00
271,ETSOM,FIX,+575331.00-0093000.00
272,ETVAX,FIX,+505807.00+0003556.00
273,EVATA,FIX,+510821.00-0004558.00
274,EVBEV,FIX,+574710.00-0074041.00
275,EVEXU,FIX,+504116.00-0003441.00
276,EVKAL,FIX,+531547.00-0002637.00
277,EVMEK,FIX,+514741.00+0011218.00
278,EVNAL,FIX,+572431.00-0093000.00
279,EVNAS,FIX,+514004.00+0002638.00
280,EVRIN,FIX,+514656.00-0063348.00
281,EVSEM,FIX,+514350.00-0012745.00
282,EVSON,FIX,+532127.00-0013949.00
283,EVTES,FIX,+510455.00-0011257.00
284,EXARO,FIX,+510003.00-0012250.00
285,EXJET,FIX,+505319.00-0030532.00
286,EXMOR,FIX,+511043.00-0032135.00
287,FACTU,FIX,+522103.00-0021713.00
288,FENIK,FIX,+554255.00-0041731.00
289,FERIT,FIX,+513759.00+0003221.00
290,FIGZI,FIX,+515735.00-0023614.00
291,FINDO,FIX,+562209.00-0032749.00
292,FINMA,FIX,+515947.00-0010313.00
293,FITBO,FIX,+521309.00-0022413.00
294,FONZU,FIX,+504922.00-0035359.00
295,FORTY,FIX,+575700.00+0003545.00
296,FOXLA,FIX,+520157.00-0041237.00
297,FOYLE,FIX,+560834.00-0042256.00
298,FRANE,FIX,+512306.00+0003739.00
299,FYNER,FIX,+560256.00-0050655.00
300,GAJIT,FIX,+512040.00-0020000.00
301,GAKKA,FIX,+504137.00-0035542.00
302,GANKI,FIX,+564548.00-0025808.00
303,GAPLI,FIX,+500000.00-0080000.00
304,GARMI,FIX,+500000.00-0012250.00
305,GARVA,FIX,+574118.00-0042941.00
306,GASBA,FIX,+515010.00+0004853.00
307,GASGU,FIX,+511224.00-0005736.00
308,GASKO,FIX,+541329.00-0015721.00
309,GATRA,FIX,+511752.00-0063755.00
310,GAVEL,FIX,+592300.00-0012422.00
311,GAVGO,FIX,+513350.00-0014236.00
312,GELPO,FIX,+483839.00-0093009.00
313,GETNO,FIX,+535548.00-0032947.00
314,GIBSO,FIX,+504459.00-0023107.00
315,GIBSU,FIX,+564547.00+0031610.00
316,GIGTO,FIX,+533801.00-0040551.00
317,GIGUL,FIX,+543626.00+0031010.00
318,GILDA,FIX,+513606.00+0003501.00
319,GILTI,FIX,+513413.00+0020318.00
320,GINGA,FIX,+565530.00-0093000.00
321,GINIS,FIX,+532739.00-0045129.00
322,GIPER,FIX,+510000.00-0120000.00
323,GIPLO,FIX,+533131.00-0004723.00
324,GIRLI,FIX,+544241.00-0014811.00
325,GIRVA,FIX,+551108.00-0045347.00
326,GISOK,FIX,+513009.00-0050728.00
327,GITUS,FIX,+502000.00-0054200.00
328,GIVEM,FIX,+552754.00+0001453.00
329,GIVPO,FIX,+531710.00+0025209.00
330,GIVUN,FIX,+504358.00-0004803.00
331,GLESK,FIX,+565400.00-0024745.00
332,GOBNU,FIX,+512053.00-0010625.00
333,GODLU,FIX,+510958.00+0011704.00
334,GODOS,FIX,+531457.00+0032547.00
335,GODPA,FIX,+525900.00-0031001.00
336,GOGIG,FIX,+515330.00-0031502.00
337,GOGSI,FIX,+511727.00-0010002.00
338,GOKTU,FIX,+501505.00-0012245.00
339,GOLES,FIX,+533629.00-0010500.00
340,GOLVO,FIX,+542441.00+0033508.00
341,GOMOT,FIX,+555510.00-0003239.00
342,GOMUP,FIX,+570000.00-0100000.00
343,GONAN,FIX,+450000.00-0140000.00
344,GOREV,FIX,+560312.00+0050000.00
345,GOSAM,FIX,+554719.00-0041202.00
346,GOTNA,FIX,+543541.00-0053553.00
347,GOXUL,FIX,+512132.00-0001033.00
348,GRICE,FIX,+561148.00-0034108.00
349,GROVE,FIX,+522338.00-0015544.00
350,GUNPA,FIX,+610000.00+0000000.00
351,GUNSO,FIX,+490310.00-0114606.00
352,GUNTU,FIX,+533537.00-0030954.00
353,GUSSI,FIX,+571247.00-0040727.00
354,HALIF,FIX,+534406.00-0013450.00
355,HANKY,FIX,+510646.00-0010751.00
356,HARDY,FIX,+502816.00+0002928.00
357,HASTY,FIX,+504342.00+0003200.00
358,HAVEN,FIX,+552740.00-0025947.00
359,HAWKE,FIX,+502227.00+0000525.00
360,HAZEL,FIX,+510019.00-0005904.00
361,HEMEL,FIX,+514820.00-0002510.00
362,HERON,FIX,+552035.00-0050000.00
363,HICAP,FIX,+510516.00-0035024.00
364,HILLY,FIX,+512006.00+0001437.00
365,HOFIK,FIX,+512605.00-0020000.00
366,HOLLY,FIX,+505312.00-0000542.00
367,HOTBE,FIX,+504749.00-0035419.00
368,IBGON,FIX,+510047.00-0004758.00
369,IBNID,FIX,+503144.00-0014708.00
370,IBOLU,FIX,+562310.00-0030803.00
371,IBRAR,FIX,+533154.00-0034111.00
372,IBROD,FIX,+563000.00-0100000.00
373,IBTES,FIX,+542625.00-0050315.00
374,IDESI,FIX,+515352.00+0015308.00
375,IDEXA,FIX,+532814.00-0050951.00
376,IDGAS,FIX,+541423.00-0043329.00
377,IDITU,FIX,+513225.00+0005837.00
378,IDKOL,FIX,+540543.00-0015945.00
379,IDOKI,FIX,+495137.00-0061139.00
380,IDOVO,FIX,+521326.00-0033304.00
381,ILZAP,FIX,+513543.00-0051135.00
382,IMVUR,FIX,+511029.00-0003156.00
383,INBAS,FIX,+564200.00-0041459.00
384,INBOB,FIX,+553625.00+0050000.00
385,INDOX,FIX,+511840.00-0010114.00
386,INGUR,FIX,+514242.00-0025137.00
387,INKEK,FIX,+503853.00-0003209.00
388,INKOB,FIX,+535216.00-0042414.00
389,INLAK,FIX,+512841.00-0013127.00
390,INLIM,FIX,+515423.00+0011913.00
391,INPIP,FIX,+545236.00-0025346.00
392,INPUT,FIX,+551818.00+0043905.00
393,INREV,FIX,+550857.00-0030539.00
394,INRUB,FIX,+514910.00-0035141.00
395,INSUN,FIX,+502343.00-0061924.00
396,IPDOR,FIX,+552239.00-0031545.00
397,IPKUS,FIX,+513152.00+0002319.00
398,IPNOX,FIX,+541340.00-0024222.00
399,IPRIL,FIX,+514029.00-0001335.00
400,IPSAD,FIX,+552145.00-0024114.00
401,IPSET,FIX,+543106.00-0052709.00
402,IPSIR,FIX,+540454.00-0015657.00
403,IPZOL,FIX,+505427.00-0031340.00
404,IRKUM,FIX,+525948.00-0052239.00
405,IRKUN,FIX,+505516.00+0012800.00
406,ITJON,FIX,+512832.00-0025908.00
407,ITSUX,FIX,+560300.00+0033000.00
408,ITVIP,FIX,+511714.00+0010312.00
409,IVLOD,FIX,+530746.00-0030919.00
410,IXURA,FIX,+520405.00-0012540.00
411,JACKO,FIX,+514409.00+0012536.00
412,JOZMA,FIX,+503738.00-0035635.00
413,KAPEX,FIX,+504030.00-0015100.00
414,KARNO,FIX,+525340.00-0025354.00
415,KATHY,FIX,+503114.00-0012000.00
416,KEGUN,FIX,+531133.00-0030901.00
417,KELLY,FIX,+535419.00-0042151.00
418,KEMPY,FIX,+520739.00+0003846.00
419,KENET,FIX,+513114.00-0012718.00
420,KEPAD,FIX,+524835.00-0022844.00
421,KESEG,FIX,+600058.00-0060056.00
422,KESIX,FIX,+565700.00-0140000.00
423,KESUP,FIX,+511932.00-0033917.00
424,KIDLI,FIX,+514617.00-0012141.00
425,KILFA,FIX,+514209.00-0015759.00
426,KLONN,FIX,+582324.00+0024944.00
427,KOBBI,FIX,+514114.00-0000918.00
428,KOFAL,FIX,+502831.00-0035836.00
429,KOGAD,FIX,+493000.00-0150000.00
430,KOKAL,FIX,+585735.00-0025338.00
431,KOKIB,FIX,+543000.00-0140000.00
432,KOLAG,FIX,+530237.00+0031518.00
433,KOLID,FIX,+533426.00-0024520.00
434,KONAN,FIX,+510751.00+0020000.00
435,KOPUL,FIX,+513232.00+0010814.00
436,KOTEM,FIX,+500000.00-0010314.00
437,KOXOD,FIX,+504229.00-0031958.00
438,KUBAX,FIX,+525634.00+0025713.00
439,KUGUR,FIX,+553000.00-0100000.00
440,KUKIS,FIX,+514156.00-0030437.00
441,KUMIL,FIX,+503431.00-0013639.00
442,KUNAV,FIX,+503054.00+0010356.00
443,KUVOX,FIX,+580459.00-0073624.00
444,KUXEM,FIX,+531511.00-0024047.00
445,LAGAV,FIX,+565335.00-0041210.00
446,LAKEY,FIX,+541420.00-0025852.00
447,LAMAT,FIX,+511807.00-0030103.00
448,LAMIX,FIX,+531829.00-0004056.00
449,LAMMA,FIX,+555130.00-0024603.00
450,LAMRO,FIX,+570151.00+0033309.00
451,LAMSO,FIX,+524358.00+0025940.00
452,LANAK,FIX,+554201.00-0035619.00
453,LANON,FIX,+522552.00-0042221.00
454,LANPI,FIX,+521115.00-0052330.00
455,LANVA,FIX,+534348.00-0042638.00
456,LAPRA,FIX,+520707.00+0011236.00
457,LARCK,FIX,+505442.00+0002648.00
458,LARDI,FIX,+533616.00+0033057.00
459,LARGA,FIX,+545150.00+0040912.00
460,LARLA,FIX,+492241.00-0070715.00
461,LASNO,FIX,+483554.00-0090000.00
462,LATMU,FIX,+531525.00+0020522.00
463,LAVRI,FIX,+511549.00+0003449.00
464,LAZTU,FIX,+514216.00-0045200.00
465,LEDBO,FIX,+523235.00+0020608.00
466,LEDGO,FIX,+511424.00-0073405.00
467,LEGRO,FIX,+531935.00+0013046.00
468,LELDO,FIX,+534300.00-0040507.00
469,LELNA,FIX,+495857.00-0020623.00
470,LEMGU,FIX,+522422.00-0052236.00
471,LESLU,FIX,+510000.00-0080000.00
472,LESNI,FIX,+573233.00-0011622.00
473,LESRA,FIX,+552308.00+0050000.00
474,LESTA,FIX,+524427.00-0010419.00
475,LIBBA,FIX,+554326.00-0034443.00
476,LIBSO,FIX,+533129.00+0000536.00
477,LIFFY,FIX,+532848.00-0053000.00
478,LIMKA,FIX,+543026.00-0051311.00
479,LINDY,FIX,+512814.00-0010257.00
480,LIPGO,FIX,+530350.00-0053000.00
481,LISBO,FIX,+543130.00-0060524.00
482,LISTO,FIX,+530836.00-0021157.00
483,LIVSU,FIX,+514149.00+0005058.00
484,LIZAD,FIX,+493525.00-0041949.00
485,LOFFO,FIX,+515012.00+0003556.00
486,LOGAN,FIX,+514451.00+0013643.00
487,LOMON,FIX,+560346.00-0043448.00
488,LOMVO,FIX,+531616.00-0051046.00
489,LONAM,FIX,+535022.00+0035633.00
490,LOREL,FIX,+520050.00-0000310.00
491,LORKU,FIX,+495618.00-0022216.00
492,LOVEL,FIX,+531506.00-0021628.00
493,LUCCO,FIX,+552049.00-0043341.00
494,LUFTU,FIX,+515139.00-0035501.00
495,LUGIS,FIX,+500000.00-0005220.00
496,LULOX,FIX,+502200.00-0080000.00
497,LUSEN,FIX,+603000.00-0100000.00
498,LUSIV,FIX,+554002.00-0041441.00
499,LUSOD,FIX,+535623.00-0041926.00
500,LUTIP,FIX,+531522.00-0044416.00
501,LUTOV,FIX,+551422.00-0100000.00
502,LUXIV,FIX,+510511.00-0004657.00
503,LUXTO,FIX,+520831.00-0020338.00
504,LYNAS,FIX,+532633.00-0042000.00
505,MABUG,FIX,+494705.00-0055612.00
506,MADAD,FIX,+555447.00-0014402.00
507,MAGEE,FIX,+544730.00-0053630.00
508,MAKUX,FIX,+535830.00-0045228.00
509,MALBY,FIX,+513533.00-0020342.00
510,MALUD,FIX,+532448.00-0033630.00
511,MAMUL,FIX,+532505.00-0011648.00
512,MANGO,FIX,+514134.00+0004726.00
513,MANIG,FIX,+494707.00-0031534.00
514,MARUK,FIX,+501447.00-0020420.00
515,MASOP,FIX,+540921.00-0042115.00
516,MATCH,FIX,+514645.00+0001500.00
517,MATIK,FIX,+610000.00-0080400.00
518,MATUT,FIX,+541017.00-0043822.00
519,MAVET,FIX,+540257.00-0033104.00
520,MAXIT,FIX,+511459.00-0003343.00
521,MAYLA,FIX,+513741.00+0004312.00
522,MEDOG,FIX,+515701.00-0033258.00
523,MEGEL,FIX,+522058.00+0020425.00
524,MERLY,FIX,+512000.00-0050000.00
525,MIMBI,FIX,+513257.00-0014136.00
526,MIMKU,FIX,+560000.00-0100000.00
527,MIMVA,FIX,+530603.00+0031813.00
528,MIPVO,FIX,+521329.00+0013609.00
529,MIRSI,FIX,+533217.00-0024242.00
530,MITSO,FIX,+533907.00-0005338.00
531,MIVLA,FIX,+504630.00-0011558.00
532,MOCHA,FIX,+593256.00-0012159.00
533,MODGO,FIX,+602643.00-0073955.00
534,MODMI,FIX,+511401.00-0002910.00
535,MOGLI,FIX,+521830.00-0001609.00
536,MOGLO,FIX,+553000.00-0140000.00
537,MOGMO,FIX,+532443.00-0011251.00
538,MOGTA,FIX,+531008.00-0023810.00
539,MOKBU,FIX,+511610.00+0012914.00
540,MOLAK,FIX,+543649.00-0093023.00
541,MOLIX,FIX,+524919.00+0030407.00
542,MONTY,FIX,+525334.00-0031026.00
543,MOPAT,FIX,+512955.00-0070537.00
544,MORAG,FIX,+524510.00-0053000.00
545,MOSIS,FIX,+490026.00-0071253.00
546,MOSUN,FIX,+515338.00-0022610.00
547,MOTOX,FIX,+505728.00+0012800.00
548,MOVEN,FIX,+520343.00-0014847.00
549,MULIT,FIX,+510047.00-0032319.00
550,NAKID,FIX,+494254.00-0043723.00
551,NALAN,FIX,+610000.00-0060000.00
552,NALAX,FIX,+532900.00+0002406.00
553,NANEV,FIX,+573429.00-0022714.00
554,NANTI,FIX,+530815.00-0023401.00
555,NANUM,FIX,+520135.00-0013747.00
556,NAPEX,FIX,+531223.00-0005140.00
557,NATEB,FIX,+550218.00-0014154.00
558,NATKO,FIX,+532712.00-0043807.00
559,NAVEL,FIX,+553513.00+0005031.00
560,NAVOV,FIX,+514831.00-0031525.00
561,NAVPI,FIX,+523250.00+0025026.00
562,NAVSO,FIX,+551322.00-0034849.00
563,NAXAT,FIX,+514721.00-0015756.00
564,NAXIL,FIX,+565724.00-0024326.00
565,NEDEX,FIX,+515237.00-0012820.00
566,NEDUL,FIX,+503958.00-0013252.00
567,NEKAP,FIX,+514335.00-0051726.00
568,NELBO,FIX,+542924.00-0051810.00
569,NELKO,FIX,+504214.00-0005718.00
570,NELSA,FIX,+535148.00-0021105.00
571,NENVO,FIX,+524238.00-0025315.00
572,NEPNA,FIX,+512958.00+0002657.00
573,NERTU,FIX,+490000.00-0140000.00
574,NESDI,FIX,+570718.00-0040848.00
575,NESON,FIX,+541346.00-0070724.00
576,NETKI,FIX,+550000.00-0140000.00
577,NETVU,FIX,+502445.00+0002854.00
578,NEVIL,FIX,+500000.00-0002206.00
579,NEVIS,FIX,+564143.00-0043241.00
580,NEVRI,FIX,+540406.00-0061611.00
581,NEXUS,FIX,+561243.00-0015041.00
582,NEXXU,FIX,+513248.00-0044338.00
583,NEZZA,FIX,+512352.00-0031916.00
584,NIBDA,FIX,+510052.00-0005501.00
585,NIBOG,FIX,+550000.00-0100000.00
586,NIDGO,FIX,+505658.00-0004608.00
587,NIGIT,FIX,+511847.00-0011015.00
588,NILAV,FIX,+450000.00-0132500.00
589,NILGI,FIX,+524835.00-0031050.00
590,NILON,FIX,+513546.00+0003804.00
591,NIMAT,FIX,+535754.00-0054432.00
