,name,type,coords
0,ABAPO,FIX,+520610.00-0044812.00
1,ABBOT,FIX,+520058.00+0003558.00
2,ABDAL,FIX,+512646.00-0015148.00
3,ABDUK,FIX,+513834.00-0034801.00
4,ABEDA,FIX,+521940.00+0015216.00
5,ABEVI,FIX,+544227.00-0024629.00
6,ABGEP,FIX,+532539.00-0045140.00
7,ABKAT,FIX,+540853.00-0015847.00
8,ABKIM,FIX,+505043.00-0015858.00
9,ABLIN,FIX,+524658.00-0045933.00
10,ABSAV,FIX,+503829.00-0011029.00
11,ABSUN,FIX,+541732.00-0061518.00
12,ABTOS,FIX,+531445.00+0002536.00
13,ABTUM,FIX,+512604.00+0012229.00
14,ADASI,FIX,+591315.00-0061731.00
15,ADCUB,FIX,+505436.00-0020000.00
16,ADELU,FIX,+532630.00-0013213.00
17,ADGEG,FIX,+531343.00+0021906.00
18,ADKIK,FIX,+504749.00-0023245.00
19,ADLOG,FIX,+501925.00-0004933.00
20,ADMAG,FIX,+511402.00+0002934.00
21,ADMEX,FIX,+522139.00-0012745.00
22,ADMIS,FIX,+515949.00+0001036.00
23,ADNAM,FIX,+520617.00+0004419.00
24,ADODO,FIX,+583000.00-0100000.00
25,ADRUD,FIX,+491014.00-0062655.00
26,ADVAS,FIX,+514053.00+0012633.00
27,ADVAT,FIX,+450000.00-0092811.00
28,AGLIL,FIX,+533442.00-0032711.00
29,AGORI,FIX,+570000.00-0130000.00
30,AGPED,FIX,+550719.00-0015657.00
31,AKIVO,FIX,+595752.00-0093000.00
32,AKOKO,FIX,+531416.00+0031207.00
33,AKUPA,FIX,+522912.00-0010528.00
34,ALASO,FIX,+552650.00-0013354.00
35,ALAVA,FIX,+532343.00-0035817.00
36,ALESO,FIX,+503432.00+0011332.00
37,ALOTI,FIX,+575427.00+0033630.00
38,ALUTA,FIX,+490019.00-0072953.00
39,ALVIN,FIX,+513945.00-0024042.00
40,AMDUT,FIX,+504028.00+0004746.00
41,AMHAG,FIX,+513000.00-0041801.00
42,AMLAD,FIX,+561552.00-0100000.00
43,AMLET,FIX,+531607.00-0015018.00
44,AMMAN,FIX,+515026.00-0035954.00
45,AMPIT,FIX,+531139.00-0031133.00
46,AMPOP,FIX,+493148.00-0060903.00
47,AMRAL,FIX,+520653.00-0025433.00
48,AMTAP,FIX,+582225.00-0093000.00
49,AMTOD,FIX,+503216.00-0012544.00
50,AMVEL,FIX,+531103.00-0000155.00
51,ANJAK,FIX,+525350.00-0025933.00
52,ANNET,FIX,+493905.00-0040005.00
53,APPLE,FIX,+543000.00-0023050.00
54,APSOV,FIX,+554923.00-0100000.00
55,ARKIL,FIX,+503928.00-0080000.00
56,ARNUN,FIX,+510326.00+0005553.00
57,ARPUB,FIX,+533534.00-0011428.00
58,ARREK,FIX,+513643.00+0015007.00
59,ARSAT,FIX,+543206.00-0014419.00
60,ARTEX,FIX,+565341.00+0035738.00
61,ARTHA,FIX,+534659.00-0021707.00
62,ARTIX,FIX,+532342.00-0010209.00
63,ASKAM,FIX,+545747.00+0031350.00
64,ASKEY,FIX,+520050.00-0000310.00
65,ASLIB,FIX,+544928.00-0030339.00
66,ASMIM,FIX,+532646.00-0023911.00
67,ASNIP,FIX,+532843.00-0025426.00
68,ASNUD,FIX,+564139.00-0030320.00
69,ASRAX,FIX,+513117.00-0041643.00
70,ASRUS,FIX,+550321.00-0032045.00
71,ATNAK,FIX,+570000.00+0050000.00
72,ATSAP,FIX,+512716.00+0013017.00
73,ATSIX,FIX,+600000.00-0100000.00
74,ATSUR,FIX,+500000.00-0140000.00
75,ATWEL,FIX,+505051.00-0032502.00
76,AVANT,FIX,+504912.00-0005618.00
77,AVRAL,FIX,+553034.00+0034259.00
78,BABAX,FIX,+502511.00-0034817.00
79,BABGU,FIX,+541639.00-0051625.00
80,BABRA,FIX,+533739.00-0035643.00
81,BADGA,FIX,+553749.00+0023658.00
82,BADIM,FIX,+513838.00-0023040.00
83,BADSI,FIX,+523930.00-0044617.00
84,BAGIT,FIX,+531345.00-0035918.00
85,BAGSO,FIX,+534048.00-0053000.00
86,BAKER,FIX,+512942.00+0001753.00
87,BAKOX,FIX,+533143.00-0050933.00
88,BAKUR,FIX,+521430.00-0054049.00
89,BALID,FIX,+562949.00-0015707.00
90,BALIX,FIX,+590000.00-0100000.00
91,BAMEP,FIX,+535242.00-0021609.00
92,BAMLI,FIX,+540828.00-0063904.00
93,BAMRA,FIX,+592600.00-0035710.00
94,BANBA,FIX,+515710.00-0061421.00
95,BANEM,FIX,+522008.00+0013019.00
96,BANTO,FIX,+522128.00-0001357.00
97,BANVA,FIX,+503242.00+0004512.00
98,BARKU,FIX,+603618.00-0092436.00
99,BARMI,FIX,+522842.00+0023414.00
100,BAROS,FIX,+532422.00-0032643.00
101,BARTN,FIX,+532814.00-0022541.00
102,BATLI,FIX,+533845.00-0012137.00
103,BAVDO,FIX,+541820.00-0010925.00
104,BAVUD,FIX,+533108.00-0045109.00
105,BAZJO,FIX,+505025.00-0035345.00
106,BEBNI,FIX,+545906.00-0033514.00
107,BEDEK,FIX,+512215.00-0013331.00
108,BEDFO,FIX,+521330.00-0003348.00
109,BEDRA,FIX,+490000.00-0150000.00
110,BEGAM,FIX,+540925.00-0020715.00
111,BEGAS,FIX,+450000.00-0090000.00
112,BEGID,FIX,+563000.00-0140000.00
113,BEGTO,FIX,+504545.00-0011408.00
114,BEKET,FIX,+585313.00-0013120.00
115,BEKMO,FIX,+525910.00+0023710.00
116,BELOX,FIX,+535316.00-0032923.00
117,BENBO,FIX,+502705.00+0000037.00
118,BENSU,FIX,+513444.00-0005508.00
119,BEREP,FIX,+590209.00+0014420.00
120,BERUL,FIX,+524016.00-0033113.00
121,BERUX,FIX,+450000.00-0110000.00
122,BESGA,FIX,+604723.00-0075446.00
123,BETAX,FIX,+530033.00-0005403.00
124,BETPO,FIX,+514754.00-0004328.00
125,BEVAM,FIX,+554353.00+0001503.00
126,BEVUP,FIX,+504800.00-0021420.00
127,BIDVA,FIX,+504339.00-0005839.00
128,BIFIN,FIX,+520323.00-0022719.00
129,BIGNO,FIX,+500000.00-0024930.00
130,BILLY,FIX,+600111.00-0083408.00
131,BILNI,FIX,+504031.00-0020733.00
132,BILTO,FIX,+563000.00-0150000.00
133,BILVO,FIX,+534352.00-0031109.00
134,BIMGO,FIX,+493000.00-0140000.00
