,name,boundary,floor,ceiling
33,EG D044 LYDD RANGES,+505525.00+0005534.00/+505328.00+0005613.00/+505238.00+0005359.00/+505237.00+0005015.00/+505420.00+0004748.00/+505554.00+0005009.00/+505650.00+0005348.00/+505525.00+0005534.00,0,4000
34,EG D061 WOODBURY COMMON,+504049.00-0032051.00,0,1500
35,EG D064A ,+512016.00-0071115.00/+511616.00-0061643.00/+502838.00-0060046.00/+501752.00-0070521.00/+502621.00-0073603.00/+503808.00-0074914.00/+504705.00-0075207.00/+505745.00-0075205.00/+512016.00-0071115.00,0,660
36,EG D064B ,+511616.00-0061643.00/+511207.00-0052532.00/+510624.00-0052510.00/+503012.00-0054335.00/+502838.00-0060046.00/+511616.00-0061643.00,0,660
37,EG D064C ,+511207.00-0052532.00/+511028.00-0050621.00/+505443.00-0043352.00/+504712.00-0043327.00/+504423.00-0043914.00/+504328.00-0043921.00/+503012.00-0054335.00/+510624.00-0052510.00/+511207.00-0052532.00,0,660
38,EG D110 BRAUNTON BURROWS,+510602.00-0041529.00/+510606.00-0041203.00/+510500.00-0041200.00/+510458.00-0041315.00/+510516.00-0041344.00/+510514.00-0041527.00/+510602.00-0041529.00,0,2000
39,EG D113A ,+513937.00-0051830.00/+513937.00-0050443.00/+513906.00-0050320.00/+513130.00-0050530.00/+512900.00-0050330.00/+512900.00-0045432.00/+512430.00-0050220.00/+514213.00-0045647.00/+513610.00-0052408.00/+513937.00-0051830.00,0,40000
40,EG D113B ,+513906.00-0050320.00/+513230.00-0050400.00/+513618.00-0045520.00/+513618.00-0045332.00/+513230.00-0044830.00/+512900.00-0045432.00/+512900.00-0050330.00/+513130.00-0050530.00/+513906.00-0050320.00,0,45000
41,EG D115A ,+513815.00-0045012.00/+513815.00-0044700.00/+513815.00-0044348.00/+513815.00-0045012.00,0,27000
42,EG D115B ,+513815.00-0045012.00/+513815.00-0044348.00/+513345.00-0043019.00/+513815.00-0044700.00/+513208.00-0050218.00/+513815.00-0045012.00,0,50000
43,EG D117 PENDINE,+513510.00-0042400.00/+513629.00-0043752.00/+513958.00-0043743.00/+514515.00-0043300.00/+514524.00-0042517.00/+514445.00-0042400.00/+513510.00-0042400.00,0,23000
44,EG D118 PEMBREY,+514625.00-0042400.00/+514313.00-0042144.00/+514001.00-0042400.00/+514625.00-0042400.00,0,12000
45,EG D119 BRIDGWATER BAY,+511224.00-0031353.00,0,5000
46,EG D120 BOSCOMBE DOWN,+511052.00-0014802.00/+511059.00-0014641.00/+511044.00-0014308.00/+511105.00-0014228.00/+510912.00-0014504.00/+510844.00-0014110.00/+510801.00-0014248.00/+510730.00-0014248.00/+510646.00-0014409.00/+510746.00-0014819.00/+510912.00-0014504.00/+511052.00-0014802.00,0,2500
47,EG D122A ,+511329.00-0021149.00/+511106.00-0020713.00/+511006.00-0015702.00/+510125.00-0015702.00/+505938.00-0020714.00/+510120.00-0021149.00/+511329.00-0021149.00,0,160
48,EG D122B ,+511059.00-0014641.00/+511044.00-0014308.00/+510357.00-0014230.00/+510125.00-0015702.00/+511006.00-0015702.00/+511059.00-0014641.00,0,160
49,EG D122C ,+511335.00-0013725.00/+511236.00-0013044.00/+510527.00-0013342.00/+510357.00-0014230.00/+511044.00-0014308.00/+511233.00-0013942.00/+511247.00-0013759.00/+511335.00-0013725.00,0,160
50,EG D123 IMBER,+511724.00-0020107.00/+511339.00-0015746.00/+511348.00-0015705.00/+511023.00-0015325.00/+511006.00-0015702.00/+511106.00-0020713.00/+511329.00-0021149.00/+511516.00-0020939.00/+511705.00-0020312.00/+511724.00-0020107.00,0,50000
51,EG D124 LAVINGTON,+511527.00-0015812.00,0,50000
52,EG D125 LARKHILL,+511828.00-0015004.00/+511059.00-0014641.00/+511023.00-0015325.00/+511348.00-0015705.00/+511339.00-0015746.00/+511724.00-0020107.00/+511807.00-0015635.00/+511828.00-0015004.00,0,50000
53,EG D126 BULFORD,+511621.00-0013746.00/+511525.00-0013606.00/+511247.00-0013759.00/+511233.00-0013942.00/+511044.00-0014308.00/+511059.00-0014641.00/+511351.00-0014759.00/+510912.00-0014504.00/+511354.00-0014225.00/+511621.00-0013746.00,0,1400
54,EG D127 PORTON,+510552.00-0014315.00/+510632.00-0014435.00/+510730.00-0014248.00/+510801.00-0014248.00/+511012.00-0013750.00/+510752.00-0013650.00/+510703.00-0013843.00/+510552.00-0014315.00,0,12000
55,EG D128 EVERLEIGH,+511852.00-0014215.00/+511621.00-0013746.00/+511354.00-0014225.00/+510912.00-0014504.00/+511351.00-0014759.00/+511828.00-0015004.00/+511852.00-0014215.00,0,1400
56,EG D129 GREEN,+515246.00-0011320.00,0,120
57,EG D130 LONGMOOR,+510559.00-0005213.00/+510541.00-0004938.00/+510446.00-0004940.00/+510426.00-0005301.00/+510559.00-0005213.00,0,1800
58,EG D132 ASH RANGES,+511745.00-0003956.00/+511623.00-0003942.00/+511548.00-0004034.00/+511524.00-0004300.00/+511606.00-0004309.00/+511638.00-0004259.00/+511732.00-0004116.00/+511745.00-0003956.00,0,2500
59,EG D133A ,+511922.00-0003907.00/+511915.00-0003858.00/+511828.00-0003951.00/+511816.00-0004028.00/+511815.00-0004103.00/+511830.00-0004118.00/+511922.00-0003907.00,0,1200
60,EG D133B ,+512040.00-0004029.00/+512034.00-0003957.00/+511922.00-0003907.00/+511830.00-0004118.00/+511915.00-0004146.00/+512019.00-0004158.00/+512040.00-0004029.00,0,1200
61,EG D136 SHOEBURYNESS,+513217.00+0004804.00/+513017.00+0005104.00/+513030.00+0004700.00/+513217.00+0004804.00,0,13000
62,EG D138A ,+514000.00+0010400.00/+514000.00+0011613.00/+513714.00+0011203.00/+513714.00+0005536.00/+514000.00+0010400.00,0,6000
63,EG D138B ,+514200.00+0011124.00/+514200.00+0011912.00/+514000.00+0011613.00/+514000.00+0010400.00/+514200.00+0011124.00,0,5000
64,EG D138C ,+513700.00+0005455.00/+513755.00+0005740.00/+513638.00+0005850.00/+513544.00+0005620.00/+513700.00+0005455.00,0,6000
65,EG D138D ,+513714.00+0005536.00/+513714.00+0011203.00/+513000.00+0005300.00/+513009.00+0005115.00/+513217.00+0004804.00/+513400.00+0005000.00/+513500.00+0005018.00/+513541.00+0005016.00/+513700.00+0005455.00/+513714.00+0005536.00,0,13000
66,EG D139 FINGRINGHOE,+515000.00+0005458.00/+514954.00+0005852.00/+514833.00+0005848.00/+514839.00+0005452.00/+515000.00+0005458.00,0,1500
67,EG D141 HYTHE RANGES,+510419.00+0010426.00/+510212.00+0010531.00/+510120.00+0010148.00/+510158.00+0010111.00/+510323.00+0010214.00/+510419.00+0010426.00,0,3200
68,EG D147 PONTRILAS,+515800.00-0025300.00,0,10000
69,EG D201A ,+523427.00-0052148.00/+520903.00-0050057.00/+521000.00-0050822.00/+521307.00-0051616.00/+522013.00-0052151.00/+523427.00-0052148.00,0,10000
70,EG D201B ,+530300.00-0053000.00/+531500.00-0053000.00/+532315.00-0051017.00/+532255.00-0050000.00/+531200.00-0050000.00/+530715.00-0045319.00/+530300.00-0045319.00/+530300.00-0053000.00,0,10000
71,EG D201C ,+525019.00-0045319.00/+524500.00-0044018.00/+524500.00-0045319.00/+525019.00-0045319.00,0,10000
72,EG D201D ,+531035.00-0053000.00/+530300.00-0051612.00/+530300.00-0053000.00/+531035.00-0053000.00,0,10000
73,EG D201F ,+521502.00-0053000.00/+521311.00-0052556.00/+521000.00-0050822.00/+520903.00-0050057.00/+520840.00-0043847.00/+520612.00-0044900.00/+520816.00-0051829.00/+521038.00-0053000.00/+521502.00-0053000.00,0,145
