,name,route
0,L6,DVR/DET
1,L7,LONAM/VENAS/GOLVO/PELET/ASKAM/BADGA/CUTEL/ODMIX/FORTY/SUM
2,L8,BUGUP/NANUM/HON/STAFA/NANTI/UMKIL/VABKA/ASNIP/TADAL
3,L9,KONAN/DVR/UMTUM/EMKAD/DIKVU/BIG/GOXUL/NORRY/CPT/STU/SLANY
4,L10,RINTI/DVR/ITVIP/LAM/BPK/BUZAD/WOBUN/DTY/HON/WAL/PENIL/CASEL/KELLY/IOM/SLYDA/RINGA/DUFFY/BEL
5,L15,MOTOX/SANDY/BIG/BETPO/FINMA/PIXUP/HON/KEPAD/RISLA/AMPIT/EPOXI/MALUD/GIGTO/SOSIM/MAKUX/VAKPO/PEPOD/DUFFY
6,L17,MOLIX/RAMID/BODSO
7,L18,VABIK/DVR/WIZAD/MAY/MID/VAPID/NIGIT/INLAK/GAVGO/UGNUS/DIKAS/MEDOG/LANON/BADSI/ABLIN/IRKUM/LIPGO
8,L22,ADKIK/HICAP/MERLY/MOPAT
9,L28,TNT/RODOL/MCT/ASNIP/AGLIL/PENIL/DANDI/LELDO/SOSIM
10,L46,NALAX/LIBSO/ODNEK/MITSO/RIMTO/HALIF/GETNO/REMSI
11,L60,KOLAG/SOPEK/OTBED/ENCOD/NISBI/DOPEK/ARTIX/MOGMO/MAMUL/ADELU/BOLBI/SONEX/PENIL
12,L70,DESIG/KOLID/TADAL/GUNTU/PENIL/BABRA/GIGTO/UNDUX/SOPAX/RAMOX/OGTUG/BAGSO
13,L74,TOPPA/LARDI/SOTUN/VENAS
14,L89,KATHY/HAZEL/WOD
15,L90,DOLAS/SUPEL/LIBSO/OTR
16,L149,BIGNO/NOTRO/DAWLY/DEVOM/HOTBE/DIDEL/MERLY/GISOK/ILZAP/NEKAP/BAKUR
17,L151,SITET/DRAKE/MID/LINDY/KIDLI/NEDEX/NANUM/TUBSU/DISIT/PEPUL/UMLUX/VIDOK/TELBA/KEPAD/WAL
18,L179,INLAK/CPT/UGBET/LAM/FERIT/SIRGO/TERKO/TUGPO/TOBIX/ERING/PIBUX/GILTI
19,L180,LESLU/MERLY/DUFZO/ASRAX/SWANY/ABDUK/DIKAS/DOBEM/FIGZI
20,L186,TRN/NORBO
21,L602,MIMVA/EMLON/LEGRO/NALAX/OTR/ERKIT/TLA/GOW/CLYDE/FYNER/BRUCE/TIR
22,L603,LAMSO/BUKUT/DIBAL/ENITO/DOLAS/AMVEL/ROGAG/EVKAL/LAMIX/EDUXO/MAMUL/ELNOD/DESIG/TENSO/BELOX/REMSI/IOM/PEPOD/LISBO
23,L607,KONAN/INLAK/PUPJO/NUMPO/ABDUK/LAZTU/NEKAP/EVRIN
24,L608,SUMUM/LOGAN/CLN/ADMIS/POTON/OLNEY/DTY/UNGAP
25,L610,RAPIX/SUNUP/TEBRA/KOPUL/UNSAD/NILON/GILDA/LAM/HEMEL
26,L613,SOVAT/SANDY/STOAT/MOGLI/BETAX/MAMUL/HALIF/ABKAT/TLA/FINDO/VADNO/PIPEM/SOXON/BAMRA
27,L620,GAPLI/LND/KOFAL/DAWLY/BRIPO/GIBSO/BEVUP/ABKIM/SAM/HAZEL/NIBDA/NOVMA/MID/GILDA/SIRGO/MANGO/CLN/REDFA
28,L722,ANNET/BHD
29,L739,LIZAD/MABUG/GAPLI
